Date,Close,Open,High,Low,Volume,Change
2020-11-25,116.03,115.55,116.75,115.17,76500000.0,0.0075
2020-11-27,116.59,116.57,117.49,116.22,46690000.0,0.0048
2020-11-30,119.05,116.97,120.97,116.81,169410000.0,0.021099999999999997
2020-12-01,122.72,121.01,123.47,120.01,128169999.99999999,0.0308
2020-12-02,123.08,122.02,123.37,120.89,89000000.0,0.0029
2020-12-03,122.94,123.52,123.78,122.21,78970000.0,-0.0011
2020-12-04,122.25,122.6,122.86,121.52,78260000.0,-0.005600000000000001
2020-12-07,123.75,122.31,124.57,122.25,86710000.0,0.0123
2020-12-08,124.38,124.37,124.98,123.09,82230000.0,0.0051
2020-12-09,121.78,124.53,125.95,121.0,115090000.0,-0.0209
2020-12-10,123.24,120.5,123.87,120.15,81310000.0,0.012
2020-12-11,122.41,122.43,122.76,120.55,86940000.0,-0.0067
2020-12-14,121.78,122.6,123.35,121.54,79080000.0,-0.0051
2020-12-15,127.88,124.34,127.9,124.13,157570000.0,0.0501
2020-12-16,127.81,127.41,128.37,126.56,98210000.0,-0.0005
2020-12-17,128.7,128.9,129.58,128.04,94360000.0,0.006999999999999999
2020-12-18,126.66,128.96,129.1,126.12,192540000.0,-0.0159
2020-12-21,128.23,125.02,128.31,123.45,121250000.0,0.0124
2020-12-22,131.88,131.61,134.41,129.65,169350000.0,0.0285
2020-12-23,130.96,132.16,132.43,130.78,88220000.0,-0.006999999999999999
2020-12-24,131.97,131.32,133.46,131.1,54930000.0,0.0077
2020-12-28,136.69,133.99,137.34,133.51,124490000.0,0.0358
2020-12-29,134.87,138.05,138.79,134.34,121050000.0,-0.013300000000000001
2020-12-30,133.72,135.58,135.99,133.4,96450000.0,-0.0085
2020-12-31,132.69,134.08,134.74,131.72,99120000.0,-0.0077
2021-01-04,129.41,133.52,133.61,126.76,143300000.0,-0.024700000000000003
2021-01-05,131.01,128.89,131.74,128.43,97660000.0,0.0124
2021-01-06,126.6,127.72,131.05,126.38,155090000.0,-0.0337
2021-01-07,130.92,128.36,131.63,127.86,109580000.0,0.0341
2021-01-08,132.05,132.43,132.63,130.23,105160000.0,0.0086
2021-01-11,128.98,129.19,130.17,128.5,100620000.0,-0.0232
