timejst,timestamp,open,high,low,close,volume
2022-07-16 05:45:00+09:00,1657917900.0,31267.8,31269.8,31200.8,31240.8,0
2022-07-16 05:50:00+09:00,1657918200.0,31260.8,31270.8,31260.8,31269.8,0
2022-07-16 05:55:00+09:00,1657918500.0,31267.8,31281.8,31264.8,31278.8,0
