timejst,timestamp,open,high,low,close,volume
2022-07-04 19:05:00+09:00,1656929100,30938.8,30975.8,30931.8,30952.8,0
2022-07-04 19:10:00+09:00,1656929400,30953.8,30978.8,30919.8,30924.8,0
2022-07-04 19:15:00+09:00,1656929700,30923.8,30938.8,30896.8,30924.8,0
2022-07-04 19:20:00+09:00,1656930000,30925.8,30944.8,30916.8,30940.8,0
2022-07-04 19:25:00+09:00,1656930300,30942.8,30961.8,30922.8,30955.8,0
2022-07-04 19:30:00+09:00,1656930600,30956.8,30958.8,30912.8,30914.8,0
2022-07-04 19:35:00+09:00,1656930900,30914.8,30931.8,30906.8,30911.8,0
2022-07-04 19:40:00+09:00,1656931200,30911.8,30922.8,30901.8,30902.8,0
2022-07-04 19:45:00+09:00,1656931500,30904.8,30908.8,30874.8,30874.8,0
2022-07-04 19:50:00+09:00,1656931800,30874.8,-1.0,30872.8,30879.8,0
